key,value
points_are_not_displayed_yet,"Punkte werden noch nicht angezeigt, aber <b>Tracking ist bereits seit dem SoDEX Mainnet-Start</b> aktiv. Berechtigte Mainnet-Aktionen werden auf das Punktesystem angerechnet, und der Punktebonus von <b>25 % der Eingeladenen sammelt sich kontinuierlich an</b> im Hintergrund. Es wird erwartet, dass Punkte ab Februar 2026<b>sichtbar werden</b>, um eine faire und überprüfbare Verteilung zu gewährleisten. Wenn Points live geht, werden zuvor gesammelte Punkte (einschließlich des 25 % Eingeladenenbonus) <b>rückwirkend berücksichtigt und automatisch gutgeschrieben</b>, es sind keine Maßnahmen erforderlich."
poster,Poster
price_above_value1,Preis über {{value1}}
price_below_value1,Preis unter {{value1}}
price_is_required,Preis ist erforderlich
process_interruption,Prozessunterbrechung
qty_coin_sell_buy_at_average_price,"{{qty}} {{coin}} {{sell_buy}}, Durchschnittspreis {{avgPrice}}"
rewards_are_capped_per_referred_user,"Die Prämien sind pro geworbenem Benutzer begrenzt. Sobald das kumulierte Handelsvolumen eines einzelnen geworbenen Benutzers <b>$1B</b> überschreitet, werden für den Teil über 1 Mrd. $ keine Empfehlungsprämien mehr generiert. Prämien, die innerhalb der ersten 1 Milliarde US-Dollar generiert werden, bleiben davon unberührt."
rewards_unavailable,Belohnungen nicht verfügbar
scan_to_earn_soso_now,"Scannen Sie, um jetzt $SOSO zu verdienen"
ssi_token,SSI-Token
stake,Einsatz
stake_failed,Pfahl fehlgeschlagen
stake_now_to_earn_soso,"JETZT EINTEILEN, UM $SOSO ZU VERDIENEN!"
stake_soso,Setzen Sie $SOSO ein
stake_soso_2,Setzen Sie SOSO ein
stake_successful,Einsatz erfolgreich!
stake_your_soso,Setzen Sie Ihr $SOSO ein
staking_epoch_3_rewards,Belohnungen für Epoche 3 abstecken
staking_failed_please_try_again_and,Das Abstecken ist fehlgeschlagen. Bitte versuchen Sie es noch einmal. Wir entschuldigen uns für die Unannehmlichkeiten
start_trading_on_sodex,Beginnen Sie mit dem Handel auf SoDEX
step1_confirming_on_value1_chain,Schritt 1: Bestätigen in der {{value1}}-Kette
step1_initiating_from_valuechain,Schritt 1: Initiierung von ValueChain
step2_depositing_to_sodex,Schritt 2: Einzahlung bei SoDEX
step2_withdrawing_to_value1_chain,Schritt 2: Rückzug in die {{value1}}-Kette
step3_finalizing_confirmation,Schritt 3: Abschließende Bestätigung
stop_order_price_must_be_higher,Der Stop-Order-Preis muss über dem Mittelwert liegen
stop_order_price_must_be_lower,Der Stop-Order-Preis muss niedriger als der Mittelwert sein
stop_price_is_required,Stop-Preis ist erforderlich
take_order_price_must_be_higher,Der Take-Order-Preis muss höher als der mittlere sein
take_order_price_must_be_lower,Der Take-Order-Preis muss unter dem mittleren liegen
take_profit_limit,Take-Profit-Limit
take_profit_market,Take-Profit-Markt
terms_of_use_privacy_policy_and,"Nutzungsbedingungen, Datenschutzrichtlinie und Cookie-Richtlinie"
thank_you_for_your_support_value1,Vielen Dank für Ihre Unterstützung! {{value1}}
thanks_for_your_interest_in_sodex,Vielen Dank für Ihr Interesse an SoDEX!
the_current_withdraw_process_has_been,"Der aktuelle Auszahlungsprozess wurde unterbrochen. Klicken Sie bitte auf die Schaltfläche „Unstake“, um mit dem Abheben von MAG7.ssi fortzufahren, oder hinterlegen Sie sMAG7.ssi im Tresor."
the_order_will_likely_get_filled,Die Bestellung wird zu diesem Preis wahrscheinlich sofort ausgeführt.
this_referral_code_is_permanent_and_unique_to_you,Dieser Empfehlungscode ist dauerhaft und einzigartig für Sie.<br />Wählen Sie mit Bedacht.
this_signature_is_gas_free_to,Diese Signatur ist gasfrei zu versenden. Es eröffnet einen dezentralen Kanal für den gasfreien und sofortigen Handel.
to_boost_rewards,um die Belohnungen zu steigern
to_protect_your_futures_position,"Um Ihre Position zu schützen, halten wir einen Sicherheitspuffer von 0,5 % × Ihrem aktuellen Hebel × Ihrer aktuellen Position.<br /> Daher kann der Betrag, den Sie von Ihrem Futures-Konto überweisen können, geringer sein als der angezeigte Futures-Saldo. Wir empfehlen Ihnen, Ihre aktuelle Position vor der Übertragung zu schließen."
to_reach_the_2_boost_please_stake_enough_soso,"Um den 2×-Boost zu erreichen, setzen Sie bitte genügend SOSO ein"
to_reach_the_2_boost_you_need_to_stake_qty_soso,"Um den 2×-Boost zu erreichen, müssen Sie {{qty}} SOSO einsetzen."
trade_on_sodex,Handeln Sie auf SoDEX
transfer_and_stake_soso,SOSO übertragen und einsetzen
transfer_failed_please_try_again,Die Übertragung ist fehlgeschlagen. Bitte versuchen Sie es erneut.
transfer_in_progress_closing_or_failed,"* Übertragung läuft. Das Schließen oder Fehlschlagen kann dazu führen, dass Gelder in <span>{{accountType}}</span> verbleiben."
transfer_tokens_among_your_accounts,Übertragen Sie Token zwischen Ihren Konten.
unlock_eligibility_is_checked_on_a_scheduled,"Die Freischaltberechtigung wird bei einer geplanten Aktualisierung überprüft (etwa alle <b>5 Minuten</b>), nicht sofort. Wenn Ihr Volumen gerade 2.000 $ überschritten hat, wird auf der Empfehlungsseite möglicherweise immer noch „Gesperrt“ angezeigt, bis die nächste Prüfung ausgeführt wird. Bitte warten Sie ein paar Minuten und aktualisieren Sie die Seite. Ihre Empfehlungsfunktion sollte nach der nächsten Aktualisierung automatisch freigeschaltet werden."
unstake_smag7_ssi_to_mag7_ssi,Trennen Sie sMAG7.ssi von MAG7.ssi
unstake_withdraw_on_ssi,Aufheben/Abheben auf SSI
unstake_your_smag7_ssi_to_mag7,Trennen Sie Ihr sMAG7.ssi von MAG7.ssi.
unstaked_smag7_ssi_to_mag7_ssi,Nicht abgestecktes sMAG7.ssi zu MAG7.ssi
up_to,Bis zu
update_margin_failed,Aktualisierungsmarge fehlgeschlagen
using_cross_margin_mode,Verwendung des Cross-Margin-Modus
using_isolated_margin_mode,Verwendung des isolierten Randmodus
valuechain_supports_multiple_options_to_fund,"ValueChain unterstützt mehrere Optionen zur Einzahlung auf Ihr Konto. Finden Sie eine Methode, die am besten zu Ihnen passt."
warning_only_send_via_the_selected,Achtung: Nur über das ausgewählte Netzwerk versenden. Das Senden aus einem anderen Netzwerk führt zu einem dauerhaften Geldverlust.
welcome_to_sodex_description,"Willkommen bei SoDEX! Sie treten einer Plattform bei, die Krypto-Investitionen für die breite Masse ermöglicht.<br /><br />Erstellen Sie ein Konto, um mit dem Handel zu beginnen, erkunden Sie unsere <a href=""__VAR_0__"">Dokumente</a> und treten Sie der <a href=""__VAR_1__"">Community</a> bei."
withdraw_smag7_ssi_from_slp,Ziehen Sie sMAG7.ssi aus SLP zurück
withdraw_your_mag7_ssi_to_your,Heben Sie Ihr MAG7.ssi auf Ihr Spot-Konto ab.
you_acknowledge_that_you_have_read_understood,"Sie bestätigen, dass Sie die <a href=""__VAR_0__"">Nutzungsbedingungen</a> und <a href=""__VAR_1__"">Datenschutzerklärung</a> gelesen, verstanden und ihnen zugestimmt haben."
you_are_using_a_testnet_referral,"Sie verwenden einen Testnet-Empfehlungscode. Bitte gehen Sie zu <a href=""__VAR_0__"">{{href}}</a>, um es zu verwenden."
you_ve_successfully_claimed,Sie haben Ihren Anspruch erfolgreich geltend gemacht
your_soso_claim_failed_please_try,Ihr $SOSO-Anspruch ist fehlgeschlagen. Bitte versuchen Sie es noch einmal. Wir entschuldigen uns für die Unannehmlichkeiten
