key,value
failed_to_switch_network_please_try,Netzwerkwechsel fehlgeschlagen. Bitte versuchen Sie es erneut.
false,FALSCH
formatbuycoin_available,{{formatBuyCoin}} Verfügbar
formatbuycoin_evm_funding,{{formatBuyCoin}} (EVM-Förderung)
formatsellcoin_available,{{formatSellCoin}} Verfügbar
formatsellcoin_evm_funding,{{formatSellCoin}} (EVM-Förderung)
from_now_on_you_ll_use,"Von nun an verwenden Sie Ihre Authentifizierungs-App, wann immer Sie eine Transaktion abwickeln."
fund_transfer,Geldtransfer
funding_countdown,Finanzierung / Countdown
funds_has_been_deposited_to_your,Das Geld wurde auf Ihr Spot-Konto eingezahlt
futures_balance_not_enough,Der Futures-Saldo reicht nicht aus
futures_balance_not_enough_desc,Der Mindestbetrag für Futures-Bestellungen beträgt {{amount}} USDC.
futures_overview,Futures-Übersicht
futures_trading_is_available_now,Der Futures-Handel ist jetzt verfügbar!
get_your_testnet_tokens_to_spot,Holen Sie sich Ihre Testnet-Tokens zu Spot
go_mainnet,Gehen Sie zum Mainnet
got_it,Habe es
hide_small_balances,Kleine Guthaben ausblenden
hold_period,Haltezeitraum
hold_to_reveal,Zum Enthüllen gedrückt halten
hover_to_reveal,"Bewegen Sie den Mauszeiger, um es anzuzeigen"
how_are_points_distributed,Wie werden die Punkte verteilt?
how_do_i_earn_points_from,Wie kann ich bei dieser Veranstaltung Punkte sammeln?
how_does_roi_get_calculated,Wie wird der ROI berechnet?
i_understand,Ich verstehe:
if_order_a_is_filled_orders,"Wenn Auftrag A ausgeführt wird, werden die Aufträge B und C aufgegeben"
if_order_b_filled_cancel_order,"Wenn Auftrag B ausgeführt wurde, stornieren Sie Auftrag C"
if_order_c_filled_cancel_order,"Wenn Auftrag C ausgeführt wurde, stornieren Sie Auftrag B"
if_you_ve_already_submitted_the,"Wenn Sie das Bewerbungsformular bereits eingereicht haben, können Sie sicher sein, dass Sie sich in der Whitelist-Warteschlange befinden – wir erweitern den Zugang schrittweise jeden Montag um 12:00 Uhr UTC."
if_you_ve_set_an_order,"Wenn Sie oben eine Ordergröße festgelegt haben, verwenden Ihre TP/SL-Orders immer genau diese Größe, unabhängig davon, wie sich Ihre Position später ändert."
image_downloaded,Bild heruntergeladen
initiated_at,Initiiert um
insufficient_balance_please_deposit_funds_to,"Unzureichendes Gleichgewicht. Bitte zahlen Sie Geld ein, um mit dem Handel zu beginnen."
insufficient_coin,unzureichend {{coin}}
insufficient_funds,Unzureichende Mittel
invalid_password_or_login_link_expired,Ungültiges Passwort oder Anmeldelink abgelaufen
invite_only,Nur auf Einladung
invite_to_sodex,Zu SoDEX einladen
item_leverage_x,{{item_leverage}} x
join_now,Jetzt beitreten
join_sodex,Treten Sie SoDEX bei
join_the_closed_alpha_by_using,"Treten Sie der Closed Alpha bei, indem Sie einen Einladungscode eines Benutzers auf der Whitelist verwenden."
join_the_whitelist_by_using_an,"Treten Sie der Whitelist bei, indem Sie einen Einladungscode eines Benutzers auf der Whitelist verwenden."
join_with_code_referralcode,Beitreten mit Code: {{referralCode}}
joining,Beitritt...
last_update,Letztes Update
leaderboard_winner,LeaderBoard-Gewinner
leverage_change_pending,Leverage-Änderung steht aus...
limit,Limit
limit_close_at_mid_price,Limit-Schließung zum mittleren Preis
link_mobile_device,Mobilgerät verknüpfen
liquidation_close_long,Liquidation: Long schließen
liquidation_close_short,Liquidation: Short schließen
liquidation_price,Liquidationspreis
litecoin_address,Litecoin-Adresse
loading_2,Laden...
login_successful,Anmeldung erfolgreich!
lucky_block_hash,Lucky Block Hash
lucky_block_rewards,Glücksblock-Belohnungen
mainnet_whitelist_apply,Mainnet-Whitelist anwenden
maintenance_margin,Wartungsmarge
maintenance_margin_portfolio_value_your_cross,"Wartungsmarge/Portfoliowert. Ihre Cross-Positionen werden liquidiert, wenn das Margin-Verhältnis 100 % erreicht."
manage_your_risk_on_individual_positions,"Verwalten Sie Ihr Risiko für einzelne Positionen, indem Sie die Höhe der jeder einzelnen Position zugewiesenen Margin beschränken. Wenn die Margin-Quote einer isolierten Position 100 % erreicht, wird die Position liquidiert. In diesem Modus können Margen zu einzelnen Positionen hinzugefügt oder entfernt werden."
margin_adjusted_successfully,Margenanpassung erfolgreich
margin_available_to_add,Spielraum zum Hinzufügen verfügbar
margin_available_to_remove,Rand zum Entfernen verfügbar
margin_required,Marge erforderlich
mark_price_is_used_to_estimate,Der Markpreis wird zur Schätzung des nicht realisierten PnL verwendet.
market_price,Marktpreis
max_amount_value1,Maximaler Betrag {{value1}}
max_buy,Maximaler Kauf
max_position_size_decreases_the_higher,"Die maximale Positionsgröße nimmt ab, je höher Ihr Leverage ist."
max_sell,Max Sell
memo,Memo
minimum_minimum_usdc_order_amount,Mindestens {{MINIMUM_USDC_ORDER_AMOUNT}}
minimum_minimum_usdc_order_balance,Mindestens {{MINIMUM_USDC_ORDER_BALANCE}}
minimum_minimumamount,Mindestens {{minimumAmount}}
minimum_minimumamount_value2,Mindestens {{minimumAmount}} {{value2}}
my_reward_records,Meine Belohnungsaufzeichnungen
name,Name
need_4_18_characters_current_codevalue,Benötigt 4–18 Zeichen. Aktuell: {{codeValue_length}} Zeichen.
need_to_close_current_position_to,"Die aktuelle Position muss geschlossen werden, um den Hebel anzupassen."
need_to_deposit,Einzahlung erforderlich
need_to_restore_your_usdc_value,Sie müssen Ihren USDC-Wert auf 0 oder höher zurücksetzen
network_added,Netzwerk hinzugefügt
network_addition_cancelled,Netzwerkhinzufügung abgebrochen
network_switch_cancelled_by_user,Netzwerkwechsel vom Benutzer abgebrochen
new_feature,✦ Neue Funktion!
no_award_records_available,Keine Auszeichnungsaufzeichnungen verfügbar.
no_coins_found,Keine Münzen gefunden
no_memo_for_this_address,Kein Memo für diese Adresse
no_records,Keine Aufzeichnungen
no_remaining_quota_is_available_please,Es ist kein Restkontingent verfügbar. Bitte schließen Sie zunächst Ihre aktiven „Limit Orders“ unter „Offene Orders“.
not_now,Nicht jetzt
not_supported,Nicht unterstützt
not_whitelisted_for_sodex_yet_don,"Noch nicht auf der Whitelist für SoDEX? Machen Sie sich keine Sorgen – Sie haben noch Zeit! Klicken Sie hier, um der Whitelist-Gruppe beizutreten und sich zu bewerben."
note_that_setting_a_higher_leverage,"Beachten Sie, dass die Festlegung einer höheren Hebelwirkung das Liquidationsrisiko erhöht."
note_use_4_18_characters_a,"Hinweis: Verwenden Sie 4–18 Zeichen (A–Z, 0–9)"
officialaccount_sitting_at_bestranktext_on_the,{{officialAccount}} Sitzen bei {{bestRankText}} auf der {{topName}}-Bestenliste mit {{bestRankValString}} Treten Sie dem #SoDEX-Testnetz bei und teilen Sie den 1 Mio. $SOSO-Preispool {{value5}}
ok_show_me_the_address,"OK, zeig mir die Adresse"
on_record_chain,am {{record_chain}}
once_you_have_claimed_your_test,"Sobald Sie Ihre Testtoken erfolgreich eingefordert haben, wird der Kontostand beim nächsten Block aktualisiert."
ongoing_deposits,Laufende Einlagen
only_letters_a_z_and_numbers,Es sind nur Buchstaben (A-Z) und Zahlen (0-9) zulässig.
only_select_this_option_on_a,"Wählen Sie diese Option nur auf einem sicheren Gerät aus, das Ihnen gehört. „Remember Me“ speichert Ihren SoDEX-Authentifizierungsschlüssel lokal in Ihrem Browser. Beachten Sie, dass der SoDEX-Authentifizierungsschlüssel vom privaten Schlüssel Ihrer Brieftasche getrennt ist und immer in der Brieftasche verbleibt. Durch die Aktivierung von „Angemeldet bleiben“ auf einem öffentlichen Computer könnte Ihr SoDEX-Schlüssel für nicht autorisierte Benutzer zugänglich gemacht werden."
open_a_channel_from_your_account,Öffnen Sie einen Kanal von Ihrem Konto zu SoDEX für gasfreien und sofortigen Handel.
open_to_all_sodex,Offen für alle SoDEX
open_to_early_bird,Offen für Frühbucher
opened_time,Geöffnete Zeit
opening_soon,Bald eröffnet
opening_time_value1,Öffnungszeit: {{value1}}
or,OR
order_confirmation,Auftragsbestätigung
order_n,Bestellen Sie {{n}}
order_numbers_ordernumbers,Bestellnummern: ( {{orderNumbers}} )
order_submitted,Bestellung eingereicht
order_submitting,Auftragserteilung
order_type,Auftragstyp
order_value,Bestellwert
other_chains_coming_soon,Weitere Ketten kommen bald...
other_wallet,Andere Geldbörse
overlay,Überlagerung
overview_aave_intro,"AAVE ist ein dezentrales, quelloffenes und nicht verwahrtes Liquiditätsprotokoll, das auf Ethereum basiert und es Benutzern ermöglicht, digitale Vermögenswerte zu verleihen, zu leihen und Zinsen zu verdienen. Ursprünglich als ETHLend im Jahr 2017 von Stani Kulechov ins Leben gerufen, wurde es im Jahr 2020 in AAVE umbenannt. Das Hauptmerkmal des Protokolls sind seine Liquiditätspools, in denen Benutzer Kryptowährungen hinterlegen, um Zinsen zu verdienen, während Kreditnehmer ihre Vermögenswerte als Sicherheit für den Erhalt von Krediten verwenden.

Eines der innovativsten Tools von AAVE sind Flash-Kredite, die unbesicherte Kredite ermöglichen, die im Rahmen derselben Transaktion zurückgezahlt werden müssen, was für Arbitrage-Möglichkeiten und den Austausch von Sicherheiten beliebt ist. AAVE unterstützt auch die Kreditdelegierung, bei der Benutzer mit Sicherheiten ihre Kreditbefugnis an andere Benutzer delegieren können, wodurch vertrauenswürdige Kreditmärkte entstehen.

Der native AAVE-Token erfüllt mehrere Funktionen, darunter die Governance für die Abstimmung über AAVE Improvement Proposals (AIPs), das Abstecken zur Sicherung der Plattform und das Verdienen von Belohnungen.

Im Juli 2023 führte AAVE GHO ein, einen dezentralen Stablecoin, den Benutzer durch Überbesicherung ihrer Vermögenswerte prägen können. Bis Oktober 2024 entwickelt sich AAVE mit der kommenden Aave V4 weiter, die Funktionen wie automatisiertes Treasury-Management, eine neue Liquidations-Engine und eine tiefere GHO-Integration einführen wird. Die Plattform bleibt mit einem erheblichen Total Value Locked (TVL) führend im DeFi-Bereich.

Die oben aufgeführten Informationen dienen lediglich der Einführung und stellen keine Anlageberatung dar."
overview_aave_intro_title,AAVE INTRO
overview_aave_title,Über Aave
overview_ada_intro,"Cardano (ADA) wird oft als „Blockchain der dritten Generation“ bezeichnet. Die erste Generation, Bitcoin, basiert auf einem Proof-of-Work-Modell und wird hauptsächlich als Wertaufbewahrungsmittel verwendet. Die zweite Generation, Ethereum, führte intelligente Verträge ein, war jedoch mit Einschränkungen in der Skalierbarkeit konfrontiert. Aufbauend auf diesen beiden verbessert Cardano die Blockchain-Architektur und die Konsensmechanismen, um Probleme wie Skalierbarkeit, Interoperabilität und Nachhaltigkeit anzugehen.

Die einzigartige zweischichtige Architektur von Cardano trennt das Hauptbuch der Kontowerte von den dahinter stehenden Vorgängen. Diese Struktur verbessert die Flexibilität und Skalierbarkeit intelligenter Verträge. Der Cardano Settlement Layer (CSL) wird für die Übertragung von ADA, der nativen Kryptowährung von Cardano, verwendet, während der Cardano Computation Layer (CCL) die Ausführung intelligenter Verträge übernimmt und so effizientere Transaktionen gewährleistet.

Cardano führte außerdem Ouroboros ein, den ersten nachweislich sicheren Proof-of-Stake (PoS)-Algorithmus. Es ist das erste Blockchain-Protokoll, das auf von Experten begutachteter akademischer Forschung basiert, ein entscheidendes Merkmal, das Cardano von anderen Blockchains unterscheidet.

Die oben aufgeführten Informationen dienen lediglich der Einführung und stellen keine Anlageberatung dar."
overview_ada_intro_title,CARDANO-INTRO
overview_ada_title,Über Cardano
overview_bnb_intro,"BNB hat die höchste Marktkapitalisierung bei CEX-Tokens. Es wird von Binance erstellt, einem der weltweit führenden Kryptowährungsbörsen. BNB wurde 2017 eingeführt und war ursprünglich ein ERC-20-Token auf der Ethereum-Blockchain, wurde jedoch 2019 auf die proprietäre Blockchain von Binance, Binance Chain, migriert.

BNB ist aufgrund seines Nutzens und seiner Integration in die Binance-Plattform einzigartig. Benutzer können BNB verwenden, um Handelsgebühren an der Börse zu bezahlen, an Token-Verkäufen auf Binance Launchpad teilzunehmen und Zahlungen im Geschäft dort zu tätigen, wo es akzeptiert wird.

Darüber hinaus ist BNB der native Token von Binance Smart Chain (BSC), einer Blockchain-Plattform zur Entwicklung dezentraler Anwendungen (DApps) und DeFi-Protokolle.

Die oben aufgeführten Informationen dienen lediglich der Einführung und stellen keine Anlageberatung dar."
overview_bnb_intro_title,BINANCE-MÜNZEN-EINFÜHRUNG
overview_bnb_title,Über Binance Coin
overview_btc_intro,"Bitcoin (BTC) ist ein Peer-to-Peer-Digitalwert, der ohne eine zentrale Behörde funktioniert. Transaktionen werden von den Teilnehmern des Netzwerks mithilfe kryptografischer Methoden validiert und einem öffentlich zugänglichen Hauptbuch, der sogenannten Blockchain, hinzugefügt. Dieser als Mining bezeichnete Validierungsprozess sichert das Netzwerk. Ungefähr alle 10 Minuten wird dem Miner, der den nächsten Block entdeckt, vom Netzwerk gestattet, alle Transaktionsgebühren aus den im Block enthaltenen Transaktionen sowie eine feste Blockbelohnung für neu ausgegebene Bitcoins einzufordern.

Das Konzept von Bitcoin wurde 2008 von einem unbekannten Schöpfer oder einer Gruppe unter dem Pseudonym Satoshi Nakamoto eingeführt. Es wurde 2009 mit der Veröffentlichung der ersten Open-Source-Softwareimplementierung in Betrieb genommen. Der Begriff „Bitcoin“ selbst wurde in einem am 31. Oktober 2008 veröffentlichten Whitepaper beschrieben: https://bitcoin.org/bitcoin.pdf"
overview_btc_intro_title,BITCOIN-EINFÜHRUNG
overview_btc_qa,"Entdecken Sie die Tokenomics von Bitcoin (BTC) und sehen Sie sich die Projektdetails unten an.

Wie hoch ist die Zuteilung für Bitcoin (BTC)?
Die Bitcoin-Verteilung, auch Mining genannt, erfolgt über einen dezentralen Prozess, bei dem neu generierte Coins an den Miner vergeben werden, der einen neuen Block erfolgreich validiert. Bitcoin hat keine vordefinierte Zuordnung. Spekulationen über „Satoshis Bitcoin-Holding“ halten sich aufgrund des angeblich frühen Minings weiterhin, ein konkreter Eigentumsnachweis bleibt jedoch aus. Alle geschürften Bitcoins gelten als genutzt, mit Ausnahme bestimmter Adressen, die nachweislich nicht zugänglich sind, sogenannte „verbrannte“ Bitcoin-Adressen.

Wie sieht der Lieferplan für Bitcoin (BTC) aus?
Der Bitcoin-Vorrat ist so programmiert, dass er eine feste Obergrenze von 21.000.000 Münzen hat, die jemals geschürft werden. Am 3. Januar 2009 startete das Bitcoin-Netzwerk mit dem sogenannten Genesis-Block. Miner, die Transaktionen validieren, erhielten früher eine volle Belohnung für alle 210.000 verarbeiteten Blöcke, was etwa alle vier Jahre der Fall war. Dieser als „Halbierung“ bezeichnete Prozess bedeutet, dass die Belohnungen für Miner halbiert werden. Dies wird alle 210.000 Blöcke so lange passieren, bis alle 21 Millionen Bitcoins erstellt wurden, was voraussichtlich um das Jahr 2142 herum der Fall sein wird. Sobald diese 21 Millionen Bitcoins hergestellt sind, wird es keine neuen mehr geben. Von da an verdienen die Miner Geld mit den für Transaktionen gezahlten Gebühren."
overview_btc_qa_title,Fragen und Antworten zu Bitcoin Tokenomics
overview_btc_title,Über Bitcoin
overview_doge_intro,"Dogecoin, oft an seinem Shiba-Inu-Hundelogo zu erkennen, ist die wertvollste Meme-Münze auf dem Kryptomarkt. Es wurde ursprünglich als Scherz im Jahr 2013 von den Softwareentwicklern Billy Markus und Jackson Palmer erstellt.

Dogecoin arbeitet in einem dezentralen Peer-to-Peer-Netzwerk, ähnlich wie Bitcoin, jedoch mit einigen wesentlichen Unterschieden. Es verwendet einen Scrypt-Algorithmus, der es weniger anfällig für die von Bitcoin-Minern verwendete Hochgeschwindigkeitshardware macht. Eines der charakteristischen Merkmale von Dogecoin ist sein unbegrenztes Angebot. Im Gegensatz zu Bitcoin, das eine Obergrenze von 21 Millionen Münzen hat, gibt es keine Höchstgrenze für die Anzahl der Dogecoins, die geschürft werden können. Dieser inflationäre Charakter macht es weniger wahrscheinlich, dass Dogecoin gehortet und eher ausgegeben wird, was zu seiner Verwendung als „Trinkgeld“-Währung im Internet beiträgt.

Die Popularität von Dogecoin stieg im Jahr 2021 sprunghaft an, was vor allem auf die Unterstützung hochkarätiger Persönlichkeiten wie Elon Musk und Mark Cuban zurückzuführen ist. Bisher erwähnt Musk Dogecoin weiterhin in vielen Beiträgen. Beispielsweise ersetzte Musk im April 2023 das „Blue Bird“-Logo von Twitter durch das Shiba Inu-Logo, was zu einem deutlichen Preisanstieg für Dogecoin führte. Im September 2024 sorgte Musk erneut für Aufsehen, als er auf X (ehemals Twitter) über ein fiktives „Department of Government Efficiency (DOGE)“ postete, was zu einem kurzfristigen Preisanstieg von rund 7 % führte. Sein Engagement spielt weiterhin eine entscheidende Rolle bei den Marktbewegungen von Dogecoin.

Neben Musks Einfluss war auch die Dogecoin Foundation aktiv und führte 2024 das Cardinals-Protokoll ein, um die Skalierbarkeit und Funktionalität innerhalb des Dogecoin-Ökosystems zu verbessern. Dieses Protokoll ermöglicht neue Funktionen wie Transaktionsbündelung und reduzierte Gebühren, die den Nutzen von Dogecoin über einfache Peer-to-Peer-Zahlungen hinaus auf den Bereich DeFi (dezentrale Finanzierung) erweitern könnten.

Die oben aufgeführten Informationen dienen lediglich der Einführung und stellen keine Anlageberatung dar."
overview_doge_intro_title,DOGECOIN-EINFÜHRUNG
overview_doge_title,Über Dogecoin
overview_eth_intro,"ETH ist ein digitaler Vermögenswert, der in einem dezentralen Blockchain-Netzwerk betrieben wird, das intelligente Verträge und dezentrale Anwendungen unterstützen soll. Transaktionen, an denen die ETH beteiligt ist, werden von Netzwerkteilnehmern mithilfe kryptografischer Methoden überprüft, um Genauigkeit und Sicherheit zu gewährleisten. Nach der Bestätigung werden diese Transaktionen in einem öffentlichen verteilten Hauptbuch, der sogenannten Blockchain, aufgezeichnet. Der Prozess der Validierung von Transaktionen und des Hinzufügens neuer Blöcke, der im Rahmen eines Proof-of-Stake-Systems als Abstecken bezeichnet wird, belohnt Validatoren, die erfolgreich neue Blöcke vorschlagen und bestätigen. In regelmäßigen Abständen gestattet das Netzwerk Validatoren, Transaktionsgebühren zu erheben und neu geschaffene ETH als protokolldefinierte Belohnungen auszugeben.

ETH wurde 2015 von Vitalik Buterin und der Ethereum-Entwicklergemeinschaft eingeführt. Sein Zweck, sein technisches Design und seine Vision wurden erstmals im 2014 veröffentlichten Ethereum-Whitepaper beschrieben, das den Grundstein für eine programmierbare Blockchain-Plattform legte."
overview_eth_intro_title,ETHEREUM-INTRO
overview_eth_title,Über Ethereum
overview_hype_intro,"Hyperliquid (HYPE) ist eine leistungsstarke Layer 1 (L1)-Blockchain, die von Grund auf optimiert wurde, um ein vollständig integriertes, offenes Finanzsystem zu unterstützen. Hyperliquid wurde entwickelt, um vom Benutzer erstellte Anwendungen zu ermöglichen, die mit nativen, leistungsstarken Komponenten interagieren. Dabei legt Hyperliquid Wert auf Skalierbarkeit und Benutzererfahrung. Die Vision der Plattform besteht darin, ein dezentrales Ökosystem zu schaffen, in dem jede Finanztransaktion, einschließlich Bestellungen, Stornierungen, Trades und Liquidationen, transparent in der Kette mit einer Latenzzeit von weniger als einer Sekunde erfolgt.

Die Hyperliquid L1-Blockchain ist für die Verarbeitung von bis zu 100.000 Bestellungen pro Sekunde ausgelegt und eignet sich daher für eine Vielzahl erlaubnisfreier Finanzanwendungen. Die Kette nutzt einen benutzerdefinierten Konsensalgorithmus namens HyperBFT, der von Hotstuff und seinen Nachfolgern inspiriert ist, sowie einen Netzwerk-Stack, der speziell für Hochleistungsoperationen optimiert wurde.

Die Flaggschiff-Anwendung, die auf Hyperliquid basiert, ist Hyperliquid DEX, eine vollständig in die Kette integrierte Orderbuch-Perpetuals-Börse. Diese Börse bietet Benutzern umfassende Liquidität und eine Ausführung mit geringer Latenz für fortgeschrittene Handelsstrategien. Zukünftige Entwicklungen für die Plattform umfassen einen nativen Token-Standard, Spot-Handel und erlaubnislose Liquidität, wodurch das Ökosystem weiter ausgebaut wird und es zu einem leistungsstarken Tool für DeFi-Enthusiasten wird.

Die oben aufgeführten Informationen dienen lediglich der Einführung und stellen keine Anlageberatung dar."
overview_hype_intro_title,HYPERLIQUID-INTRO
overview_hype_title,Über Hyperliquid
