key,value
sodex_slp_vault,Sodex SLP-Tresor
switch_to_base,Wechseln Sie zur Basis
switch_to_valuechain,Wechseln Sie zu ValueChain
the_server_is_busy_please_try,Der Server ist beschäftigt. Bitte versuchen Sie es nach ca. 10 bis ca. 15 Minuten erneut
the_slp_vault_employs_active_trading,"Der SLP-Tresor verwendet aktive Handelsstrategien mit Marktrisiko. Die Rückgabe ist nicht garantiert und Ihre Einzahlung kann teilweise oder vollständig verloren gehen. Für Verluste wird kein Ersatz geleistet. Indem Sie fortfahren, akzeptieren und verstehen Sie diese Risiken."
this_is_a_community_owned_sodex,"Dies ist ein gemeinschaftseigener SoDEX-Tresor. Seine Mittel werden verwendet, um mehrere Market-Making-Strategien auf SoDEX umzusetzen, liquidierte Positionen abzusichern/zu übernehmen und Plattformgebühren zu erheben."
transaction_canceled,Transaktion abgebrochen
transferring_to_evm_funding,Übergang zur EVM-Finanzierung
unstake_failed,Die Aufhebung des Stakes ist fehlgeschlagen
unstake_in_progress,Entstake in Bearbeitung
unstake_to_mag7_ssi,Entstake zu MAG7.ssi
value1_balance_account_value2_value3,{{value1}} Saldokonto: {{value2}} ( {{value3}} )
value1_smag7_ssi,{{value1}} sMAG7.ssi
value1_value2_smag7_ssi,{{value1}} {{value2}} sMAG7.ssi
vault_depositing_will_auto_stake_mag7,Bei der Einzahlung in den Tresor wird MAG7.ssi automatisch auf sMAG7.ssi verpfändet.
waiting_for_balance_sync_2mins,Warten auf Balance-Synchronisierung (~2 Min.)
website,Webseite
withdraw_from_slp_vault,Vom SLP-Tresor abheben
withdraw_mag7_ssi_by_unstaking_smag7,"Entziehen Sie MAG7.ssi, indem Sie sMAG7.ssi aufheben. Nach einer 14-tägigen Sperrfrist können Sie MAG7.ssi auf Ihrem Spotkonto beanspruchen."
withdraw_your_mag7_ssi_by_using,"Ziehen Sie Ihre MAG7.ssi zurück, indem Sie sMAG7.SLP als Anmeldeinformationen verwenden. Das MAG7.ssi wird Ihrem Spot-Konto gutgeschrieben."
withdraw_your_smag7_ssi_by_using,"Ziehen Sie Ihr sMAG7.ssi zurück, indem Sie sMAG7.SLP als Anmeldeinformationen verwenden. Das sMAG7.ssi wird Ihrem EVM-Funding-Konto gutgeschrieben."
withdrawals_require_unstaking_14_days_lock,"Abhebungen müssen aufgehoben werden (14-tägige Sperrfrist), um zu MAG7.ssi zurückzukehren."
