key,value
mag7_ssi_deposit_warning,"Wenn Sie MAG7.ssi auf SoDEX Spot einzahlen, können Sie vorübergehend weniger SSI-Treuepunkte sammeln. Übertrage MAG7.ssi an {{account}} oder SLP Vault, um weiterhin SSI-Staking-Punkte zu sammeln.*"
mainnet,Mainnet
make_another_deposit,Eine weitere Einzahlung ausführen
margin,Margin
margin_mode,Marginmodus
mark_price,Referenz Preis
market,Markt
market_close,Marktschluss
market_order,Markt Order
market_trades,Marktgeschäfte
max,Max.
max_value1,Max: {{value1}}
memo_if_required,(falls erforderlich)
memo_is_required,Ist erforderlich
memo_must_contain_only_numbers,Das Password darf nur Ziffern enthalten
memo_warning_tooltip,"Wenn Ihre Börse/Geldbörse ein Memo für diese Einzahlung benötigt, geben Sie eine beliebige 9-stellige Nummer ein (z. B. 123456789). SoDEX benötigt kein Memo."
milestone_rewards,Meilenstein-Belohnungen
minimum_deposit,Minimale Einzahlung
minimum_withdrawal_amount,Es gibt eine Mindestabhebung von {{amount}} {{coin}}.
more,Mehr
must_specify_entry_price,Muss Einstiegspreis angeben.
must_specify_order_amount,Muss Bestellbetrag angeben.
must_to_know,Das muss man wissen
net_asset_value,Nettoinventarwert
network,Netzwerk-
network_switch_failed,Netzwerkschalter fehlgeschlagen. Bitte versuchen Sie es erneut.
network_switch_rejected,Netzwerk-Switch abgelehnt. Bitte genehmigen Sie in Ihrem Wallet.
new,Neu
new_code_cannot_be_the_same,Neuer Code darf nicht mit dem aktuellen Code identisch sein
new_referrals_may_take_up_to_30_min_to_appear,"Es kann bis zu ~30 Minuten dauern, bis neue Empfehlungen angezeigt werden."
next,Nächste
no,Nein
no_data,Keine Daten
no_data_available,Keine Daten verfügbar
open_orders,Offene Orders
order_book,Orderbuch
order_failed,Bestellung fehlgeschlagen
order_history,Bestellhistorie
order_id,Auftragsnummer
original_size,Originalgröße
overview,Überblick
parsedamount_record_coin_deposit_pending,{{parsedAmount}} {{record_coin}} Einzahlung ausstehend.
parsedamount_record_coin_withdraw_pending,{{parsedAmount}} {{record_coin}} Auszahlung ausstehend.
parsedamount_token_deposit_pending,{{parsedAmount}} {{token}} Einzahlung ausstehend.
parsedamount_token_withdraw_pending,{{parsedAmount}} {{token}} Auszahlung ausstehend.
partially_filled,Teilweise gefüllt
payload_account_id,Konto-ID
payload_cancels,Storniert
payload_client_order_id,Bestellung des Klienten
payload_coin,Münze
payload_funds,Fonds
payload_modifier,Modifizierer
payload_order_id,Auftragsnummer
payload_order_side,Auftragsseite
payload_order_type,Bestelltyp
payload_orders,Orders
payload_original_client_order_id,Ursprüngliche Kundenauftrags-ID
payload_position_side,Position
payload_price,Preis
payload_quantity,Anzahl
payload_reduce_only,Nur verkleinern
payload_side,Seite
payload_size,Größe
payload_stop_price,Stopp-Preis
payload_stop_type,Stopptyp
payload_time_in_force,Inkraftsetzung
payload_trigger_type,Auslösertyp
payload_type,Typ
payment,Zahlung
pending,Ausstehend
pending_cancel,Ausstehende Stornierung
pending_modify,Wartend (Bearbeiten)
pending_new,Ausstehend (neu)
pick_the_market_you_want_to,"Wählen Sie den Markt, den Sie handeln möchten."
platform_tour,Plattform-Tour
please_connect_your_wallet_first,Bitte verbinden Sie zuerst Ihre Wallet
please_enable_trading_first,Bitte aktivieren Sie zuerst den Handel.
please_enable_trading_to_withdraw_from,"Bitte aktivieren Sie den Handel, um vom Spot-Konto abzuheben."
please_enter_a_price,Bitte geben Sie einen Preis ein.
points,Punkte
points_claim_history,Punkthistorie
portfolio,Portfolio
position,Position
position_history,Positionsentwicklung
position_side,Position
position_value,Positionswert:
price,Preis
price_cannot_be_higher_than_max_unit,Der Preis darf nicht höher sein als {{max}} {{unit}}
price_cannot_be_lower_than_min_unit,Preis darf nicht niedriger sein als {{min}} {{unit}}
price_priceunit,Preis({{priceUnit}})
price_usdc,Preis (USDC)
private_key_refresh_failed,Aktualisierung des privaten Schlüssels fehlgeschlagen
quantity,Anzahl
rank,Rang
receiver_address_format_error,Empfänger-Adressformat-Fehler
redirect_to_ssi_sosovalue_com,Weiterleitung an ssi.sosovalue.com
reduce_only_too_large,Nur zu groß reduzieren
referral_code_already_exists,Empfehlungscode existiert bereits
referral_code_already_exists_for_this,Der Empfehlungscode für dieses Wallet ist bereits vorhanden
referral_code_created_successfully_2,Empfehlungscode erfolgreich erstellt!
referral_code_exists_in_external_service,Empfehlungscode existiert im externen Dienst
referral_code_has_already_been_modified,"Empfehlungscode wurde bereits geändert, kann nicht erneut geändert werden"
referral_code_has_already_been_used,Empfehlungscode wurde bereits verwendet
referral_code_is_required,Empfehlungscode ist erforderlich
referral_code_not_found_for_this,Empfehlungscode für dieses Wallet nicht gefunden
referral_link,Empfehlungslink
referrals,Empfehlungen
rejected,Abgelehnt
research_terminal,Forschungsterminal
reset,Zurücksetzen
retry,Erneut versuchen
retry_withdrawal,Auszahlung erneut versuchen
review,Prüfung
rewards,Belohnungen
rows_per_page,Zeilen pro Seite
save,Speichern
search_coins,Suche {{coins}}
select_chain,Kette auswählen
select_coin,"Coin auswählen"
select_market,Markt wählen
sell,Verkaufen
settings,Einstellungen
share,Teilen
share_code,Code teilen
share_link,Link teilen
share_to_earn,Freigeben für
short,Kurz
sign_failed,Die Anmeldung ist fehlgeschlagen
sign_transactions,Transaktionen unterzeichnen
signature_request_was_rejected_please_try_2,Signaturanfrage wurde abgelehnt. Bitte versuchen Sie es erneut.
size,Größe
sl_price,SL-Preis
sl_price_must_be_greater_than,"Der SL-Preis muss größer als 0 und niedriger als der Grenzpreis sein. Um die Position sofort zu schließen, verwenden Sie die Positionstabelle oder das Bestellformular."
sl_price_must_be_higher_than,"SL-Preis muss höher als Grenzpreis sein. Um die Position sofort zu schließen, verwenden Sie die Positionstabelle oder das Bestellformular."
slots,Termine
sodex_supports_multiple_options_to_fund,"SoDEX unterstützt mehrere Optionen, um Ihr Konto zu finanzieren. Finden Sie eine Methode, die am besten zu Ihnen passt."
sodex_value1_png,SoDEX_{{value1}}.png
sodex_will_cover_the_service_fees,SoDEX übernimmt diesmal die Servicegebühren für Sie.
sold,verkauft
spot,Spot
spot_account,Spot-Konto
spot_to_fund_transfer,Spot-to-EVM-Fonds-Überweisung
stake_formdata_amount_value2_successfully,Einsatz {{formData_amount}} {{value2}} erfolgreich
standard_wallet_transfers_only,Nur Standard-Wallet-Überweisungen
standard_wallet_transfers_only_tooltip,Von einer Standard-Wallet-Adresse (EOA) senden. Beispiele: MetaMask oder eine Exchange-Auszahlungsadresse. Übertragungen von Smart Contracts/Contract Wallets werden nicht unterstützt.
start_bitcoin_trading_on_sodex,Starten Sie den Bitcoin-Handel auf SoDEX
start_tour,Tour starten
stats,Statistik
status,Status
stocks,Aktien
stop_limit,Stop-Limit
stop_loss,Stop-Loss
stop_market,Stop Markt
support,Support
suspicious_address,Verdächtige Adresse
switch,Wechseln
switching,Wechsel...
switching_to_network,Wechsel zu {{network}}...
take_a_quick_tour_to_learn,"Machen Sie eine kurze Tour, um die Grundlagen zu erlernen. Sie können es jetzt überspringen und jederzeit in den Einstellungen neu starten."
take_profit,"Take-Profit
"
take_profit_stop_loss,Take-Profit / Stop-Loss
telegram,Telegramm
testnet,Testnet
the_destination_address_was_flagged_as,Die Zieladresse wurde als Hochrisiko gekennzeichnet. Bitte verwenden Sie eine andere Auszahlungsadresse und versuchen Sie es erneut.
the_order_has_been_filled,Die Bestellung wurde ausgeführt.
this_deposit_was_flagged_because_the,"Diese Einzahlung wurde markiert, da die Quelladresse das KYT-Screening nicht bestanden hat. Die Mittel sind derzeit in der Warteschleife. Du kannst eine Rückerstattung beantragen, um das Geld an die ursprüngliche Quelle zurückzugeben, oder den Support kontaktieren, wenn du der Meinung bist, dass dies ein Fehler ist."
time,Uhrzeit
time_0s_ago,Vor 0s
time_d_ago,vor {{days}}d
time_days_hours_minutes,{{days}}Tage {{hours}}h {{minutes}}min
time_h_ago,vor {{hours}}h
time_hours_minutes,{{hours}}h {{minutes}}min
time_less_than_a_minute,weniger als eine Minute
time_m_ago,vor {{minutes}}m
time_minutes,{{minutes}}min
time_s_ago,vor {{seconds}}s
to,Herrn
to_address,Empfänger Adresse
tools,Werkzeuge
total_balance,Gesamtsaldo
total_formatbaseunitview,Gesamt({{formatBaseUnitView}})
total_oi,Gesamt-OI
total_users,Gesamtbenutzeranzahl
total_volume,Gesamtvolumen
tp_price,TP-Preis
tp_price_must_be_greater_than,Der TP-Preis muss größer als 0 und niedriger als der Grenzpreis sein.
tp_price_must_be_higher_than,Der TP-Preis muss höher als der Grenzpreis sein.
tp_sl,TP/SL
tp_sl_price_is_invalid,TP/SL-Preis ist ungültig.
trade,Handel
trade_history,Handelsverlauf
trade_more,Mehr handeln
trading_volume_is_less_than_the,Das Handelsvolumen liegt unter dem Schwellenwert
transaction_failed_error_message,Transaktion fehlgeschlagen: {{error_message}}
transaction_in_progress_you_can_safely,Transaktion läuft. Sie können dieses Fenster sicher schließen.
transaction_proceeding,Transaktionsverfahren
transaction_proceeding_2,Transaktionsablauf
transaction_rejected_by_kyt,Diese Transaktion wurde vom KYT-Screening abgelehnt.
transfer,Überweisung
transfer_asset_among_your_accounts_to,"Übertragen Sie Assets zwischen Ihren Konten, um die Transaktion abzuschließen."
transfer_assets_from_spot_to_futures,Übertragen Sie Vermögenswerte von Ihrem SPOT-Konto auf ein Futures-Konto auf SoDEX.
treasure_box,Schatzkiste
trigger_price,Auslösungspreis
triggered,Getriggert
try_again,Erneut versuchen
tvl,TVL
twitter,Twitter
unknown,Unbekannt
unrealized_pnl,Nicht realisierte PnL
unstake,Einsatz aufheben
unstaking_smag7_ssi_to_mag7_ssi,Trennung von sMAG7.ssi zu MAG7.ssi
usd_value,(usd) Wert
used,Benutzt
user,Benutzer
user_is_not_allowed_to_invite,Benutzer darf nicht einladen
users_with_deposits_5,Benutzer mit Einzahlungen > $ 5
valuescan_evm,ValueScan (EVM)
vault,Tresor
view_deposit_history,Einzahlungshistorie
volume,Volumen
week_number,WOCHE {{number}}
weekly_invite_limit_reached,Limit für wöchentliche Einladungen erreicht
weekly_invite_limit_reached_with_time,Dieser Code hat sein wöchentliches Einladungslimit erreicht. Versuche es mit einem anderen Code oder warte bis {{time}}.
weekly_quota,Wöchentliches Kontingent
whitepaper,Weißes Papier
withdraw,Auszahlen
withdraw_formattedamount_coinsymbol_successfully,{{formattedAmount}} {{coinSymbol}} erfolgreich abheben.
withdraw_parsedamount_record_coin_successfully,{{parsedAmount}} {{record_coin}} erfolgreich abheben.
withdraw_parsedamount_token_successfully,{{parsedAmount}} {{token}} erfolgreich abheben.
withdraw_to,Auszahlung an {{chain}}
withdrawal_failed_high_risk_address,Auszahlung Fehlgeschlagen: Adresse mit hohem Risko
withdrawing_smag7_ssi_from_slp,Entnahme von sMAG7.ssi aus SLP
yes,Ja
you_are_not_in_the_whitelist,Sie befinden sich in der Whitelist
you_deposit,hinterlegen
you_deposit_2,hinterlegen
you_have_already_been_referred_by,Sie wurden bereits von einem anderen Benutzer empfohlen
you_receive,Du erhälst
you_receive_2,Sie erhalten
you_will_need_to_sign_this,Sie müssen diese Transaktion in Ihrem Wallet unterschreiben.
you_will_receive_10_of_referred,Sie erhalten 10 % der Gebühren der empfohlenen Nutzer und 25 % ihrer Punkte.
you_withdraw,Sie zahlen aus
your_1_deposit_transaction_is_pending,Einzahlungstransaktion ausstehend: 1.
your_pendingcount_deposit_transactions_are_pending,Deine {{pendingCount}} Einzahlungstransaktionen sind ausstehend.
